Register Type,Registerart
Register Number,Registernummer
Register Court,Registergericht
Validate EU VAT ID,Ust-IdNr. validieren
Tax ID is a valid EU VAT ID,Steuernummer ist gültige Ust-IdNr.
Tax ID is not a valid EU VAT ID,Steuernummer ist keine gültige Ust-IdNr.
Tax ID could not be validated,Steuernummer konnte nicht validiert werden.
Is Severely Disabled,Ist Schwerbehindert
Working Hours Per Week,Arbeitsstunden pro Woche
Tax Office,Finanzamt
Tax Office Number,Finanzamtnummer
Tax Bracket,Steuerklasse
Children Eligible for Tax Credits,Anzahl Kinderfreibeträge
Religious Denomination,Konfession
Has Children,Hat Kinder
Highest School Qualification,Höchster Schulabschluss
Has Other Employments,Hat Nebenbeschäftigungen
